frame,emotion,confidence
0,neutral,0.26522428
6,neutral,0.2661826
12,neutral,0.2697632
18,neutral,0.275775
24,neutral,0.275775
30,neutral,0.275775
36,neutral,0.2680015
42,neutral,0.26952088
48,neutral,0.25465384
54,fear,0.247564
60,fear,0.261723
66,fear,0.261723
72,fear,0.261723
78,fear,0.26441398
84,fear,0.26441398
90,happy,0.4489758
96,neutral,0.35922906
102,neutral,0.42556915
108,fear,0.6694914
114,fear,0.29476148
120,neutral,0.35554546
126,angry,0.24514607
132,neutral,0.3009305
138,neutral,0.3719477
144,fear,0.2760048
150,neutral,0.3194152
156,neutral,0.40576795
162,neutral,0.30954593
168,neutral,0.28135598
174,neutral,0.45113826
180,neutral,0.5292428
186,neutral,0.34992027
192,neutral,0.5249238
198,neutral,0.3160859
204,neutral,0.45854503
210,neutral,0.4769666
216,neutral,0.5623506
222,neutral,0.47196373
228,neutral,0.6259376
234,neutral,0.52273965
240,neutral,0.38724694
246,neutral,0.32361948
252,neutral,0.5806141
258,neutral,0.55116713
264,fear,0.4398177
270,fear,0.7101722
276,fear,0.43744272
282,fear,0.40686166
288,neutral,0.58817095
294,neutral,0.5113323
300,neutral,0.5871648
306,neutral,0.45146224
312,neutral,0.57367
318,neutral,0.59580356
324,neutral,0.47186157
330,neutral,0.7029933
336,neutral,0.5317862
342,neutral,0.5401858
348,neutral,0.50298375
354,neutral,0.44074464
360,neutral,0.5103271
366,neutral,0.54583097
372,neutral,0.664399
378,neutral,0.4418681
384,neutral,0.41229498
390,fear,0.25797528
396,neutral,0.41402775
402,surprise,0.34533945
408,neutral,0.44332498
414,neutral,0.40630612
420,neutral,0.41449943
426,neutral,0.2856001
432,fear,0.29499254
438,neutral,0.4644087
444,neutral,0.45224524
450,neutral,0.50915474
456,neutral,0.48594543
462,neutral,0.40197834
468,neutral,0.63558084
474,neutral,0.35362336
480,neutral,0.44291237
486,neutral,0.68863094
492,neutral,0.6690271
498,neutral,0.6371986
504,neutral,0.5237454
510,neutral,0.48026654
516,neutral,0.3705071
522,sad,0.33970028
528,neutral,0.47425494
534,neutral,0.38852248
540,sad,0.35724244
546,fear,0.3441286
552,sad,0.41648668
558,fear,0.44158992
564,fear,0.5687491
570,fear,0.6239626
576,neutral,0.43788734
582,neutral,0.39398223
588,neutral,0.23253505
594,angry,0.26540238
600,neutral,0.4109303
606,angry,0.22448556
612,sad,0.2927866
618,sad,0.26993996
624,angry,0.2635059
630,neutral,0.28367248
636,neutral,0.52455544
642,neutral,0.62153196
648,neutral,0.5621546
654,neutral,0.42070463
660,neutral,0.3243379
666,neutral,0.49961686
672,neutral,0.3060266
678,neutral,0.35062692
684,neutral,0.49919176
690,neutral,0.4342895
696,neutral,0.38366908
702,neutral,0.4183919
708,neutral,0.40186942
714,neutral,0.36579204
720,neutral,0.3394177
726,neutral,0.30989155
732,neutral,0.45875862
738,neutral,0.4544631
744,surprise,0.38305214
750,neutral,0.53565437
756,neutral,0.5582622
762,neutral,0.32723954
768,neutral,0.51053715
774,neutral,0.42574912
780,neutral,0.39893174
786,fear,0.3396921
792,neutral,0.5121851
798,neutral,0.3822743
804,neutral,0.44051605
810,neutral,0.47590068
816,neutral,0.44758603
822,neutral,0.43084052
828,neutral,0.40106255
834,neutral,0.42688754
840,neutral,0.46067616
846,neutral,0.4070641
852,neutral,0.46071762
858,neutral,0.43389916
864,neutral,0.49665546
870,neutral,0.46399525
876,neutral,0.4852715
882,neutral,0.43943036
888,neutral,0.3860184
894,neutral,0.40016723
900,neutral,0.4348684
906,neutral,0.40424043
912,neutral,0.4453193
918,neutral,0.4025905
924,neutral,0.49712467
930,neutral,0.4347558
936,neutral,0.46676308
942,neutral,0.57994205
948,neutral,0.48689523
954,neutral,0.4168349
960,neutral,0.3641334
966,neutral,0.39017987
972,neutral,0.40217188
978,neutral,0.39883766
984,neutral,0.47484466
990,neutral,0.49558747
996,neutral,0.47149917
1002,neutral,0.46458936
1008,neutral,0.5613485
1014,neutral,0.5184599
1020,neutral,0.5490647
1026,neutral,0.55387425
1032,neutral,0.5596747
1038,neutral,0.47408512
1044,neutral,0.5419968
1050,neutral,0.5665886
1056,neutral,0.49766716
1062,neutral,0.49766567
1068,neutral,0.52145207
1074,neutral,0.5524004
1080,neutral,0.5681965
1086,neutral,0.61181223
1092,neutral,0.6234866
1098,neutral,0.60787797
1104,neutral,0.62782073
1110,neutral,0.59398794
1116,neutral,0.6007717
1122,neutral,0.60937935
1128,neutral,0.47255728
1134,neutral,0.5315357
1140,neutral,0.5021814
1146,neutral,0.48332193
1152,neutral,0.55456895
1158,neutral,0.538196
1164,neutral,0.52450556
1170,neutral,0.5176414
1176,neutral,0.482927
1182,neutral,0.47164854
1188,neutral,0.4600212
1194,neutral,0.42219305
1200,neutral,0.39164212
1206,neutral,0.41047555
1212,neutral,0.4060566
1218,neutral,0.41568923
1224,neutral,0.36042142
1230,neutral,0.3829785
1236,neutral,0.3332361
1242,happy,0.3214748
1248,happy,0.3162468
1254,sad,0.40837783
1260,neutral,0.44299245
1266,neutral,0.6285288
