,frame,emotion,confidence
0,96,Neutral,0.8861824
1,102,Neutral,0.8217787
2,114,Neutral,0.29543564
3,120,Neutral,0.34756514
4,126,Neutral,0.28177062
5,132,Neutral,0.6268599
6,138,Neutral,0.5296432
7,144,Neutral,0.41361025
8,150,Surprise,0.36479068
9,180,Happy,0.7940652
10,186,Neutral,0.61523336
11,192,Neutral,0.7725981
12,204,Neutral,0.58388186
13,210,Neutral,0.83521223
14,216,Neutral,0.80922455
15,222,Neutral,0.9048445
16,228,Neutral,0.9459753
17,252,Neutral,0.73471016
18,258,Neutral,0.76705086
19,264,Neutral,0.7927204
20,288,Neutral,0.5798626
21,324,Neutral,0.7792779
22,330,Neutral,0.67585224
23,336,Neutral,0.6310181
24,342,Neutral,0.70537007
25,348,Neutral,0.7671583
26,360,Neutral,0.76658404
27,366,Neutral,0.6611668
28,372,Neutral,0.7767048
29,378,Neutral,0.8383175
30,384,Neutral,0.80127084
31,390,Neutral,0.8214362
32,396,Neutral,0.63493174
33,402,Neutral,0.6802415
34,408,Neutral,0.67695564
35,414,Neutral,0.7423543
36,420,Neutral,0.7315153
37,426,Neutral,0.7141058
38,432,Neutral,0.68892837
39,438,Neutral,0.716358
40,444,Neutral,0.67801255
41,450,Neutral,0.8057072
42,456,Neutral,0.7291164
43,462,Neutral,0.7433074
44,468,Neutral,0.7585563
45,474,Neutral,0.8218928
46,480,Neutral,0.76728815
47,486,Neutral,0.86977065
48,492,Neutral,0.8499855
49,498,Neutral,0.42750147
50,504,Neutral,0.6070871
51,510,Neutral,0.43772575
52,516,Neutral,0.38972154
53,522,Neutral,0.4303829
54,528,Neutral,0.54023063
55,534,Neutral,0.33240303
56,540,Neutral,0.4331248
57,546,Neutral,0.2767905
58,552,Angry,0.24210949
59,558,Neutral,0.30894703
60,564,Neutral,0.59839845
61,570,Neutral,0.6187204
62,576,Neutral,0.30729145
63,582,Surprise,0.28072765
64,588,Neutral,0.42386398
65,624,Neutral,0.38393912
66,636,Neutral,0.53249794
67,642,Neutral,0.59939706
68,648,Neutral,0.728036
69,654,Neutral,0.7752637
70,660,Neutral,0.77484673
71,666,Neutral,0.7547438
72,672,Neutral,0.8469564
73,678,Neutral,0.8567405
74,684,Neutral,0.75032526
75,690,Neutral,0.69474447
76,696,Neutral,0.8363396
77,702,Neutral,0.8054851
